university,yr,Number Employed,Employed Long Term,Employed Short Term,Purs Grad Deg FT,Unempl Not Seek,Unemployed Seek,Emp Status Unk,Total Graduates,Law Schl Funded,Law Schl Funded LT,Law Schl Funded ST,Emp Solo ,Emp Solo LT,Emp Solo ST,Emp 2-10,Emp 2-10 LT,Emp 2-10 ST,Emp 11-25,Emp 11-25 LT,Emp 11-25 ST,Emp 26-50,Emp 26-50 LT,Emp 36-50 ST,Emp 51-100,Emp 51-100 LT,Emp 51-100 ST,Emp 101-250,Emp 101-250 LT,Emp 101-250 ST,Emp 251-500,Emp 251-500 LT,Emp 251-500 ST,Emp 501+,Emp 501+ LT,Emp 501+ ST,Emp Type Unk,Emp Type Unk LT,Emp Type ST ,Bus & Ind,Bus & Ind LT,Bus & Ind ST,Government,Government LT,Government ST,Public Interest,Public Interest LT,Public Interest ST,Federal,Federal LT,Federal ST,State & local,State & local LT,State & local ST,Academia,Academia LT,Academia ST,Emp Type Unk,Tot Emp Type,Tot Emp Type LT,Tot Emp Type ST,State 1 Lrgst Emp,State 1 Lrgst Emp Num,State 2 Lrgst Emp,State 2 Lrgst Emp Num,State 3 Lrgst Emp,State 3 Lrgst Emp Num,Emp Forgn Countries
"DAYTON, UNIVERSITY OF",2011,119,100,19,4,0,15,4,142,1,0,1,7,6,1,44,41,3,4,3,1,5,3,2,3,3,0,5,3,2,1,1,0,2,2,0,0,0,0,24,19,5,13,12,1,2,2,0,2,2,0,5,2,3,3,2,1,0,120,101,19,Ohio,58,Illinois,8,Indiana,7,0
"DENVER, UNIVERSITY OF",2011,286,258,25,19,7,30,5,347,23,1,22,12,12,0,57,57,0,11,11,0,10,10,0,2,2,0,7,7,0,7,7,0,5,5,0,0,0,0,54,51,3,63,45,18,20,20,0,2,2,0,23,23,0,10,6,4,3,286,258,25,Colorado,226,California,11,unknown,11,2
DEPAUL UNIVERSITY,2011,244,227,14,5,7,33,0,289,4,2,2,9,9,0,67,63,4,14,14,0,8,8,0,6,6,0,5,5,0,5,5,0,10,10,0,4,3,0,47,41,6,36,34,2,13,13,0,1,1,0,4,4,0,12,10,2,3,244,226,14,Illinois,192,unknown,8,California,7,1
"DETROIT MERCY, UNIVERSITY OF",2011,145,97,47,7,6,35,5,198,3,1,2,2,2,0,23,15,8,15,8,7,2,1,1,5,5,0,5,3,2,2,0,2,9,2,7,6,2,4,37,29,8,18,17,1,6,2,4,3,3,0,6,6,0,5,2,3,1,145,97,47,Michigan,86,New York,6,Pennsylvania,3,38
DICKINSON SCHOOL OF LAW,2011,139,95,42,12,10,18,8,187,5,1,4,3,3,0,26,23,3,2,1,1,5,5,0,0,0,0,2,2,0,1,1,0,3,2,1,2,1,1,33,14,19,22,20,2,4,3,1,4,1,3,23,16,7,6,3,3,3,139,95,41,Pennsylvania,82,New York,8,Virginia,6,1
DISTRICT OF COLUMBIA,2011,50,26,15,3,3,14,11,81,0,0,0,3,1,1,7,5,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,13,7,5,10,5,3,8,4,3,0,0,0,0,0,0,1,0,1,2,50,26,15,District of Columbia,25,Virginia,9,Maryland,4,0
DRAKE UNIVERSITY,2011,128,128,0,2,8,5,0,143,1,1,0,10,10,0,39,39,0,14,14,0,1,1,0,2,2,0,1,1,0,2,2,0,1,1,0,0,0,0,29,29,0,20,20,0,3,3,0,1,1,0,4,4,0,1,1,0,0,128,128,0,Iowa,90,Illinois,5,Nevada,5,0
DREXEL UNIVERSITY,2011,88,76,7,2,6,12,5,113,4,0,4,1,1,0,12,12,0,4,4,0,2,2,0,3,3,0,2,2,0,5,5,0,4,4,0,2,2,0,24,19,3,7,7,0,6,3,3,3,3,0,7,7,0,4,2,1,2,88,76,7,Pennsylvania,57,New Jersey,12,unknown,7,0
DUKE UNIVERSITY,2011,202,183,19,5,4,2,0,213,10,2,8,2,1,1,12,8,4,5,5,0,3,3,0,6,5,1,14,14,0,9,9,0,73,73,0,0,0,0,8,5,3,22,18,4,10,5,5,27,27,0,7,7,0,4,3,1,0,202,183,19,New York,45,District of Columbia,31,North Carolina,28,4
DUQUESNE UNIVERSITY,2011,161,138,16,6,1,11,25,204,2,2,0,4,4,0,38,31,4,10,9,0,6,6,0,8,8,0,4,3,1,9,3,5,4,4,0,2,1,0,34,29,5,15,14,1,7,7,0,0,0,0,13,13,0,3,3,0,4,161,135,16,Pennsylvania,136,District of Columbia,5,Ohio,5,0
ELON UNIVERSITY,2011,75,63,12,3,2,5,13,98,1,1,0,7,7,0,28,24,4,3,3,0,1,1,0,1,1,0,1,0,1,2,2,0,3,2,1,0,0,0,16,11,5,6,6,0,2,1,1,0,0,0,4,4,0,1,1,0,0,75,63,12,North Carolina,61,Virginia,5,District of Columbia,3,0
EMORY UNIVERSITY,2011,222,199,19,7,11,5,9,254,20,1,19,3,3,0,34,34,0,8,8,0,11,10,1,6,6,0,7,7,0,11,11,0,44,44,0,1,1,0,16,15,1,28,21,7,17,9,8,17,17,0,7,6,1,5,4,1,7,222,196,19,Georgia,78,New York,35,District of Columbia,13,4
FAULKNER UNIVERSITY,2011,72,70,2,0,6,6,1,85,0,0,0,10,10,0,24,23,1,3,3,0,4,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,6,0,21,21,0,1,1,0,0,0,0,2,2,0,0,0,0,0,72,70,2,Alabama,51,Georgia,5,Florida,3,0
FLORIDA A&M,2011,70,66,4,7,8,25,14,124,1,0,1,13,13,0,14,12,2,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,14,14,0,15,15,0,3,3,0,0,0,0,0,0,0,4,2,2,2,70,64,4,Florida,50,Georgia,6,North Carolina,2,0
FLORIDA COASTAL,2011,345,193,124,23,18,14,33,433,59,5,54,6,6,0,93,64,28,8,5,3,2,0,2,7,4,3,2,2,0,0,0,0,2,1,0,11,6,3,60,29,24,36,33,2,78,21,55,4,4,0,10,10,0,11,8,3,15,345,193,123,Florida,201,Georgia,21,unknown,15,5
FLORIDA INTERNATIONAL,2011,136,118,18,7,4,1,3,151,8,0,8,4,4,0,50,49,1,12,11,1,1,1,0,2,2,0,2,1,1,1,1,0,1,1,0,9,7,2,20,16,4,10,10,0,13,11,2,1,1,0,0,0,0,9,2,7,1,136,117,18,Florida,127,Illinois,2,Michigan,1,2
FLORIDA STATE UNIVERSITY,2011,224,212,12,5,14,1,1,245,3,1,2,6,6,0,45,43,2,13,13,0,13,13,0,4,4,0,7,7,0,1,1,0,6,6,0,8,6,2,27,22,5,58,57,1,18,18,0,3,3,0,10,10,0,5,3,2,0,224,212,12,Florida,186,District of Columbia,7,New York,4,2
"FLORIDA, UNIVERSITY OF",2011,328,282,44,41,10,4,1,384,21,1,20,5,5,0,59,52,7,26,25,1,19,19,0,13,13,0,12,12,0,5,5,0,27,26,1,3,0,3,46,38,8,48,46,2,21,20,1,8,8,0,10,10,0,24,3,21,2,328,282,44,Florida,263,District of Columbia,15,Georgia,11,5
FORDHAM UNIVERSITY,2011,460,372,87,3,11,13,4,491,73,3,70,0,0,0,28,20,8,17,17,0,9,9,0,13,13,0,19,19,0,32,31,1,113,113,0,0,0,0,52,45,6,49,37,12,62,17,45,22,19,3,36,30,6,8,2,6,0,460,372,87,New York,350,New Jersey,38,California,9,10
UNIVERSITY OF NEW HAMPSHIRE,2011,95,95,0,0,5,11,16,127,0,0,0,2,2,0,28,28,0,6,6,0,2,2,0,12,12,0,4,4,0,1,1,0,3,3,0,2,2,0,16,16,0,9,9,0,3,3,0,0,0,0,6,6,0,1,1,0,0,95,95,0,New Hampshire,28,Massachusetts,11,New York,11,2
GEORGE MASON UNIVERSITY,2011,214,177,37,1,4,2,1,222,18,3,15,2,2,0,42,34,8,8,8,0,2,2,0,1,1,0,3,3,0,14,12,2,13,12,1,0,0,0,42,31,11,46,46,0,8,4,4,8,8,0,11,11,0,14,3,11,0,214,177,37,Virginia,89,District of Columbia,77,Maryland,10,4
GEORGE WASHINGTON UNIVERSITY,2011,484,378,106,14,6,6,2,512,26,2,24,3,2,1,27,21,6,6,5,1,9,7,2,10,7,3,14,14,0,32,32,0,102,97,5,13,4,9,69,37,32,105,95,10,23,10,13,27,27,0,15,15,0,28,4,24,1,484,377,106,District of Columbia,219,New York,67,Virginia,40,11
GEORGETOWN UNIVERSITY,2011,621,532,89,4,10,8,4,647,73,7,66,0,0,0,14,13,1,4,4,0,8,8,0,13,13,0,16,16,0,51,50,1,208,205,3,3,2,1,34,23,11,103,82,21,86,47,39,29,29,0,30,30,0,18,6,12,4,621,528,89,District of Columbia,272,New York,103,California,56,17
GEORGIA STATE UNIVERSITY,2011,175,172,3,3,5,13,2,198,1,1,0,10,10,0,47,46,1,4,4,0,8,8,0,5,5,0,5,5,0,7,7,0,8,8,0,0,0,0,36,35,1,20,20,0,9,8,1,4,4,0,5,5,0,4,4,0,3,175,169,3,Georgia,167,Florida,1,Hawaii,1,0
"GEORGIA, UNIVERSITY OF",2011,204,192,11,1,3,8,3,219,1,1,0,2,2,0,50,49,1,14,13,1,6,6,0,8,8,0,2,2,0,4,4,0,18,18,0,7,1,6,16,15,1,37,36,1,4,4,0,19,19,0,10,10,0,1,1,0,6,204,188,10,Georgia,155,District of Columbia,14,Alabama,4,1
GOLDEN GATE UNIVERSITY,2011,117,43,74,9,6,21,21,174,20,0,20,3,3,0,35,12,23,4,2,2,2,1,1,2,2,0,1,1,0,0,0,0,2,2,0,1,1,0,25,10,15,20,7,13,5,1,4,1,1,0,0,0,0,16,0,16,0,117,43,74,California,108,Texas,2,Illinois,1,1
GONZAGA UNIVERSITY,2011,147,145,2,6,7,11,7,178,0,0,0,5,5,0,36,36,0,9,9,0,1,1,0,1,1,0,2,2,0,1,1,0,1,1,0,14,14,0,26,26,0,13,13,0,11,11,0,0,0,0,22,22,0,5,3,2,0,147,145,2,Washington,67,Idaho,12,Oregon,9,0
HAMLINE UNIVERSITY,2011,145,129,15,6,13,16,18,198,0,0,0,3,3,0,34,32,2,7,7,0,3,3,0,1,1,0,5,5,0,0,0,0,0,0,0,1,1,0,51,43,8,11,8,2,9,8,1,0,0,0,15,15,0,4,3,1,1,145,129,14,Minnesota,107,unknown,10,Wisconsin,10,1
HARVARD UNIVERSITY,2011,557,552,5,13,3,16,0,589,29,27,2,0,0,0,5,5,0,1,1,0,5,5,0,5,5,0,19,19,0,26,26,0,288,288,0,0,0,0,16,16,0,23,21,2,43,42,1,96,96,0,26,26,0,4,2,2,0,557,552,5,New York,178,District of Columbia,95,Massachusetts,67,21
"HAWAII, UNIVERSITY OF",2011,67,63,4,1,2,10,0,80,1,1,0,0,0,0,8,7,1,1,1,0,5,5,0,3,3,0,2,2,0,0,0,0,1,1,0,0,0,0,2,1,1,16,16,0,9,8,1,1,1,0,18,18,0,1,0,1,0,67,63,4,Hawaii,55,Washington,2,Arkansas,1,2
HOFSTRA UNIVERSITY,2011,321,225,70,9,3,6,13,352,27,0,27,7,5,1,82,69,9,21,19,2,8,7,1,8,8,0,2,2,0,5,5,0,13,13,0,16,4,6,71,41,18,34,33,1,15,15,0,2,1,1,3,1,2,31,2,29,3,321,225,70,New York,263,New Jersey,10,unknown,8,0
