SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_EmployedBarPassageRequiredFTLT,Funded_EmployedBarPassageRequiredFTST,Funded_EmployedBarPassageRequiredPTLT,Funded_EmployedBarPassageRequiredPTST,Funded_EmployedBarPassageRequiredTotalEmployed,Funded_EmployedJDAdvantageFTLT,Funded_EmployedJDAdvantageFTST,Funded_EmployedJDAdvantagePTLT,Funded_EmployedJDAdvantagePTST,Funded_EmployedJDAdvantageTotalEmployed,Funded_EmployedProfessionFTLT,Funded_EmployedProfessionFTST,Funded_EmployedProfessionPTLT,Funded_EmployedProfessionPTST,Funded_EmployedProfessionTotalEmployed,Funded_EmployedNonProfessionFTLT,Funded_EmployedNonProfessionFTST,Funded_EmployedNonProfessionPTLT,Funded_EmployedNonProfessionPTST,Funded_EmployedNonProfessionTotalEmployed,Funded_TotalFTLT,Funded_TotalFTST,Funded_TotalPTLT,Funded_TotalPTST,Funded_TotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,2-10,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,11-25,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Education-FTLT,Education-FTST,Education-PTLT,Education-PTST,Education,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HAWAII, UNIVERSITY OF",56,4,1,1,62,14,0,1,1,16,2,0,0,0,2,0,0,1,1,2,0,0,0,0,0,2,0,2,10,10,106,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,10,0,1,1,12,6,0,0,0,6,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,5,12,3,0,1,16,5,0,2,0,7,2,0,0,0,2,22,1,0,0,23,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,72,4,3,3,82,Hawaii,75,California,2,Washington,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOFSTRA UNIVERSITY,186,6,8,18,218,24,3,1,6,34,9,3,3,2,17,3,1,1,5,10,1,0,0,2,3,7,0,2,61,11,363,0,2,0,4,6,1,1,0,5,7,0,0,0,0,0,0,0,0,0,0,1,3,0,9,13,0,0,1,0,1,85,2,7,12,106,12,1,0,1,14,11,0,0,1,12,8,0,0,0,8,4,0,0,0,4,1,0,0,0,1,11,0,0,0,11,0,0,0,0,0,38,6,2,6,52,29,4,2,2,37,12,0,0,1,13,3,0,0,0,3,5,0,0,2,7,0,0,0,0,0,3,0,1,6,10,1,0,0,2,3,223,13,13,33,282,New York,224,New Jersey,18,Florida,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HOUSTON, UNIVERSITY OF",165,3,7,0,175,32,0,0,0,32,13,0,3,0,16,0,0,1,0,1,1,0,0,0,1,4,0,3,30,0,262,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,4,0,1,0,5,58,0,5,0,63,12,0,0,0,12,6,0,0,0,6,5,0,0,0,5,7,0,0,0,7,11,0,0,0,11,29,0,0,0,29,0,0,0,0,0,54,0,4,0,58,17,2,0,0,19,4,0,0,0,4,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,211,3,11,0,225,Texas,217,District Of Columbia,2,Maryland,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOWARD UNIVERSITY,73,6,1,0,80,12,3,2,1,18,24,2,0,1,27,0,0,0,0,0,0,0,0,0,0,3,0,1,13,9,151,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,2,1,2,9,1,1,0,0,2,1,0,0,0,1,1,0,0,0,1,2,0,0,0,2,5,0,0,0,5,16,0,0,0,16,0,0,0,0,0,22,2,1,0,25,22,3,1,0,26,9,3,0,0,12,2,0,0,0,2,22,0,0,0,22,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,109,11,3,2,125,District Of Columbia,47,Maryland,17,New York,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IDAHO, UNIVERSITY OF",60,1,5,2,68,8,0,3,1,12,4,1,3,1,9,1,0,2,4,7,0,0,0,0,0,3,0,1,4,0,104,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,0,0,8,23,0,5,1,29,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,2,4,3,16,9,0,2,2,13,4,0,0,0,4,1,0,0,0,1,15,0,0,0,15,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,73,2,13,8,96,Idaho,62,Washington,9,Utah,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ILLINOIS, UNIVERSITY OF",131,13,2,0,146,13,6,1,1,21,4,0,0,1,5,0,1,0,0,1,0,0,0,0,0,5,2,7,22,4,213,7,10,0,0,17,2,1,0,0,3,1,0,0,1,2,0,0,0,0,0,10,11,0,1,22,0,0,0,0,0,28,2,2,1,33,11,0,0,0,11,7,0,0,0,7,6,0,0,0,6,7,0,0,0,7,8,0,0,0,8,32,0,0,0,32,1,0,0,0,1,15,4,1,0,20,8,6,0,0,14,10,6,0,0,16,4,1,0,0,5,4,0,0,0,4,0,0,0,0,0,7,1,0,1,9,0,0,0,0,0,148,20,3,2,173,Illinois,110,California,15,Texas,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA UNIVERSITY - BLOOMINGTON,111,15,0,6,132,21,3,0,2,26,6,0,0,1,7,1,2,0,0,3,0,0,0,0,0,3,8,12,12,1,204,0,2,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,0,0,0,2,17,1,0,2,20,5,1,0,0,6,7,1,0,0,8,3,0,0,0,3,8,1,0,0,9,11,1,0,0,12,9,0,0,0,9,5,0,0,1,6,22,10,0,1,33,22,2,0,2,26,7,2,0,1,10,2,0,0,1,3,13,0,0,0,13,0,0,0,0,0,6,1,0,1,8,0,0,0,0,0,139,20,0,9,168,Indiana,66,Illinois,20,District Of Columbia,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA UNIVERSITY - INDIANAPOLIS,151,3,6,1,161,31,3,7,4,45,31,2,6,2,41,2,0,1,1,4,3,0,0,0,3,2,1,1,27,10,295,1,0,0,0,1,4,0,0,2,6,0,0,2,0,2,0,0,0,0,0,5,0,2,2,9,10,1,1,0,12,59,1,8,1,69,17,0,0,0,17,6,0,0,0,6,2,0,0,0,2,3,0,0,0,3,5,1,0,0,6,5,0,0,0,5,0,0,0,0,0,39,3,3,3,48,44,2,5,0,51,13,0,1,1,15,2,0,0,0,2,4,0,0,0,4,0,0,0,0,0,7,0,2,3,12,2,0,0,0,2,218,8,20,8,254,Indiana,205,Illinois,8,California,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTER AMERICAN UNIVERSITY OF PUERTO RICO,5,40,1,3,49,10,6,0,4,20,79,1,2,1,83,2,0,1,2,5,0,0,0,0,0,1,0,29,42,5,234,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,11,0,2,13,2,25,0,3,30,1,3,0,1,5,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2,3,3,74,24,3,1,1,29,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,96,47,4,10,157,Puerto Rico,153,Georgia,1,North Carolina,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IOWA, UNIVERSITY OF",132,5,3,1,141,11,0,7,1,19,5,0,0,0,5,4,1,4,0,9,0,0,0,0,0,2,0,7,2,0,185,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,28,0,2,0,30,13,0,0,0,13,7,0,0,0,7,5,0,0,0,5,7,0,0,0,7,3,0,0,0,3,7,0,0,0,7,0,1,1,0,2,26,2,6,2,36,24,1,4,0,29,7,1,0,0,8,9,0,0,0,9,12,0,0,0,12,0,0,0,0,0,3,1,1,0,5,0,0,0,0,0,152,6,14,2,174,Iowa,66,Illinois,22,California,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOHN MARSHALL LAW SCHOOL,175,7,15,3,200,65,4,13,4,86,20,1,5,0,26,2,1,4,0,7,1,0,1,0,2,3,7,9,69,5,414,1,0,1,0,2,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,1,2,1,2,6,7,0,0,0,7,66,1,17,1,85,25,0,0,1,26,12,1,1,0,14,5,0,0,0,5,6,0,0,0,6,2,0,0,0,2,3,1,0,0,4,1,0,0,0,1,55,3,10,2,70,54,3,5,0,62,10,2,1,0,13,9,0,0,0,9,3,0,0,0,3,0,0,0,0,0,4,2,3,3,12,1,0,1,0,2,263,13,38,7,321,Illinois,273,Alabama,3,Florida,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUDGE ADVOCATE GENERAL'S SCHOOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Illinois,273,Alabama,3,Florida,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KANSAS, UNIVERSITY OF",95,3,4,2,104,20,1,1,1,23,2,0,1,0,3,1,0,0,0,1,0,0,0,0,0,2,0,0,20,1,154,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,23,0,2,1,26,4,0,0,0,4,6,0,0,0,6,4,0,0,0,4,1,0,0,0,1,4,0,0,0,4,8,1,0,0,9,1,1,0,1,3,25,2,1,0,28,20,0,2,0,22,7,0,0,0,7,2,0,0,0,2,7,0,0,1,8,0,0,0,0,0,3,0,1,0,4,0,0,0,0,0,118,4,6,3,131,Kansas,61,Missouri,28,California,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KENTUCKY, UNIVERSITY OF",109,0,6,1,116,14,0,1,0,15,3,0,1,0,4,3,0,1,0,4,0,0,0,0,0,4,0,1,2,1,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26,0,4,0,30,12,0,1,0,13,8,0,0,0,8,0,0,0,0,0,4,0,0,0,4,7,0,0,0,7,6,0,0,0,6,0,0,0,0,0,16,0,3,1,20,14,0,0,0,14,6,0,0,0,6,5,0,0,0,5,23,0,0,0,23,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,129,0,9,1,139,Kentucky,97,Georgia,8,Tennessee,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEWIS AND CLARK COLLEGE,117,8,5,5,135,17,2,4,3,26,7,2,0,0,9,2,0,6,1,9,0,0,0,0,0,5,0,0,23,2,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,30,4,4,6,44,11,0,0,0,11,7,0,0,0,7,1,0,0,0,1,1,0,0,0,1,6,0,0,0,6,5,0,0,0,5,4,0,1,0,5,21,2,8,1,32,15,3,1,2,21,14,1,1,0,16,3,0,0,0,3,17,2,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,143,12,15,9,179,Oregon,112,California,16,Washington,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBERTY UNIVERSITY,47,3,0,0,50,7,1,1,1,10,1,0,1,0,2,0,0,1,0,1,1,0,0,1,2,2,3,1,18,1,90,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,7,19,0,0,0,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,2,1,1,14,9,2,0,0,11,3,0,1,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,1,0,1,0,2,0,0,0,1,1,56,4,3,2,65,Virginia,32,North Carolina,6,Florida,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLN MEMORIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virginia,32,North Carolina,6,Florida,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOUISIANA STATE UNIVERSITY,171,0,0,0,171,16,0,0,0,16,14,0,0,0,14,1,0,1,0,2,0,0,0,0,0,8,0,3,7,2,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,66,0,0,0,66,12,0,0,0,12,11,0,0,0,11,7,0,0,0,7,5,0,0,0,5,4,0,0,0,4,1,0,0,0,1,0,0,0,0,0,32,0,1,0,33,19,0,0,0,19,8,0,0,0,8,6,0,0,0,6,17,0,0,0,17,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,202,0,1,0,203,Louisiana,155,Texas,21,California,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOUISVILLE, UNIVERSITY OF",85,0,1,0,86,16,1,1,0,18,3,0,1,0,4,0,0,2,0,2,0,0,0,0,0,3,2,2,7,3,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,39,1,1,0,41,5,0,0,0,5,3,0,0,0,3,1,0,0,0,1,5,0,0,0,5,1,0,0,0,1,2,0,0,0,2,0,0,1,0,1,12,0,2,0,14,15,0,0,0,15,4,0,0,0,4,2,0,0,0,2,4,0,0,0,4,0,0,0,0,0,3,0,1,0,4,0,0,0,0,0,104,1,5,0,110,Kentucky,88,Georgia,2,Indiana,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,169,32,4,31,236,31,5,1,10,47,6,1,3,0,10,2,0,0,4,6,1,0,0,0,1,4,14,11,82,0,411,2,9,0,20,31,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,9,0,23,34,1,0,0,0,1,54,10,2,11,77,21,2,0,2,25,9,3,1,2,15,11,0,0,0,11,8,0,0,0,8,5,0,0,0,5,28,0,0,0,28,0,0,0,0,0,43,8,2,6,59,12,5,1,3,21,5,6,1,17,29,5,3,0,0,8,1,1,0,0,2,0,0,0,0,0,5,0,1,4,10,1,0,0,0,1,209,38,8,45,300,California,285,New York,3,District of Columbia,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOYOLA UNIVERSITY-CHICAGO,148,11,8,5,172,24,4,0,3,31,16,0,3,2,21,0,0,0,2,2,0,0,0,0,0,13,0,4,28,0,271,0,2,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,5,0,0,0,5,50,2,7,4,63,15,1,0,0,16,6,0,0,0,6,9,0,0,0,9,5,0,0,0,5,4,0,0,0,4,18,0,0,0,18,0,0,0,0,0,38,9,2,4,53,17,0,0,0,17,11,2,1,2,16,2,0,0,0,2,3,0,0,0,3,0,0,0,0,0,5,1,1,1,8,0,0,0,1,1,188,15,11,12,226,Illinois,183,California,10,Michigan,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOYOLA UNIVERSITY-NEW ORLEANS,135,0,3,3,141,13,0,0,0,13,13,0,2,0,15,0,0,1,0,1,0,0,0,0,0,10,2,3,75,18,278,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,53,0,1,0,54,14,0,0,0,14,8,0,1,1,10,4,0,0,0,4,6,0,0,1,7,1,0,0,0,1,10,0,0,0,10,8,0,0,0,8,22,0,2,0,24,16,0,1,1,18,4,0,0,0,4,4,0,0,0,4,6,0,0,0,6,0,0,0,0,0,4,0,1,0,5,0,0,0,0,0,161,0,6,3,170,Louisiana,126,Florida,7,Texas,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAINE, UNIVERSITY OF",37,2,1,0,40,5,2,1,3,11,3,1,1,1,6,2,0,2,2,6,0,0,0,0,0,4,2,1,17,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,6,7,0,0,2,9,2,0,0,0,2,3,0,0,0,3,1,0,0,0,1,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2,4,3,17,8,0,0,1,9,1,1,0,0,2,1,0,0,0,1,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,5,5,6,63,Maine,51,District Of Columbia,4,Florida,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARQUETTE UNIVERSITY,125,3,3,2,133,23,6,3,1,33,17,3,0,1,21,0,0,2,0,2,0,0,0,0,0,3,0,0,19,7,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,9,50,0,3,1,54,12,4,0,1,17,10,0,0,0,10,0,0,0,0,0,8,0,0,0,8,2,0,0,0,2,4,0,0,0,4,0,0,0,0,0,41,5,3,1,50,13,1,0,0,14,6,1,0,0,7,4,1,0,0,5,5,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,165,12,8,4,189,Wisconsin,141,Illinois,14,Michigan,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MARYLAND, UNIVERSITY OF",169,11,4,17,201,50,6,4,2,62,22,3,2,1,28,0,0,0,0,0,0,0,0,0,0,4,0,4,19,1,319,0,0,0,15,15,7,1,1,0,9,1,0,0,0,1,0,0,0,0,0,8,1,1,15,25,2,0,0,0,2,24,0,2,4,30,10,2,2,0,14,8,0,0,0,8,6,0,0,0,6,8,0,0,0,8,7,0,0,0,7,9,1,0,0,10,0,0,0,0,0,36,9,4,3,52,37,1,1,7,46,20,3,0,6,29,11,0,0,0,11,48,0,0,0,48,0,1,0,0,1,14,3,1,0,18,1,0,0,0,1,241,20,10,20,291,Maryland,194,District Of Columbia,46,Virginia,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCGEORGE SCHOOL OF LAW,127,23,8,41,199,7,2,2,6,17,14,3,3,0,20,0,0,2,1,3,0,0,0,0,0,3,0,0,56,8,306,0,3,0,22,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,23,26,3,0,2,2,7,40,5,4,13,62,11,1,0,1,13,9,0,0,1,10,7,0,0,0,7,7,0,0,0,7,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,15,4,6,5,30,34,8,1,15,58,8,6,1,11,26,2,0,0,0,2,6,1,0,0,7,0,0,0,0,0,3,3,1,0,7,0,0,0,0,0,148,28,15,48,239,California,208,Nevada,10,District Of Columbia,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEMPHIS, UNIVERSITY OF",76,2,6,2,86,14,1,0,1,16,4,3,0,0,7,1,0,0,0,1,0,0,0,0,0,2,1,3,14,4,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,11,36,1,0,2,39,6,0,0,0,6,4,0,0,0,4,5,1,0,0,6,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15,1,0,0,16,9,3,0,0,12,3,0,2,1,6,4,0,0,0,4,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,95,6,6,3,110,Tennessee,98,Georgia,2,California,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
